1713312021999
CPU,%,15.238798621368781
Memory,%,72.07977276262577
Disk Read,%,10000.0
Disk Write,%,10000.0
Network In,Kbps,117.0
Network Out,Kbps,20.0
1713312022525
CPU,%,12.98342541436464
Memory,%,72.08003641243555
Disk Read,%,0.0
Disk Write,%,0.0
Network In,Kbps,117.0
Network Out,Kbps,20.0
1713312022597
CPU,%,33.333333333333336
Memory,%,72.13456398673027
Disk Read,%,0.0
Disk Write,%,0.0
Network In,Kbps,117.0
Network Out,Kbps,20.0
1713312022599
CPU,%,0.0
Memory,%,72.1349714455272
Disk Read,%,0.0
Disk Write,%,0.0
Network In,Kbps,117.0
Network Out,Kbps,20.0
1713312022724
CPU,%,31.547911547911546
Memory,%,72.25169640676468
Disk Read,%,0.0
Disk Write,%,0.4310092283116493
Network In,Kbps,117.0
Network Out,Kbps,20.0
1713312022727
CPU,%,14.678899082568808
Memory,%,72.25210386556161
Disk Read,%,0.0
Disk Write,%,0.0
Network In,Kbps,117.0
Network Out,Kbps,20.0
1713312022849
CPU,%,41.52585765488991
Memory,%,72.45022471352651
Disk Read,%,0.0
Disk Write,%,0.0
Network In,Kbps,117.0
Network Out,Kbps,20.0
1713312022851
CPU,%,0.0
Memory,%,72.45022471352651
Disk Read,%,0.0
Disk Write,%,0.0
Network In,Kbps,117.0
Network Out,Kbps,20.0
1713312022975
CPU,%,17.321248741188317
Memory,%,72.43852824923823
Disk Read,%,0.6816589021457344
Disk Write,%,2.459739164411345
Network In,Kbps,117.0
Network Out,Kbps,20.0
1713312022977
CPU,%,34.04255319148936
Memory,%,72.43852824923823
Disk Read,%,0.0
Disk Write,%,0.0
Network In,Kbps,117.0
Network Out,Kbps,20.0
1713312023115
CPU,%,12.573496155585707
Memory,%,72.43852824923823
Disk Read,%,0.0
Disk Write,%,0.0
Network In,Kbps,117.0
Network Out,Kbps,20.0
1713312023121
CPU,%,0.0
Memory,%,72.43852824923823
Disk Read,%,0.0
Disk Write,%,1.0591915271858785
Network In,Kbps,117.0
Network Out,Kbps,20.0
1713312023241
CPU,%,12.014314928425357
Memory,%,72.50690942262848
Disk Read,%,0.0
Disk Write,%,0.0
Network In,Kbps,117.0
Network Out,Kbps,20.0
1713312023242
CPU,%,NaN
Memory,%,72.50690942262848
Disk Read,%,0.0
Disk Write,%,0.0
Network In,Kbps,117.0
Network Out,Kbps,20.0
1713312023368
CPU,%,10.962301587301587
Memory,%,72.56213207369444
Disk Read,%,0.0
Disk Write,%,0.0
Network In,Kbps,117.0
Network Out,Kbps,20.0
1713312023369
CPU,%,0.0
Memory,%,72.54935704200253
1713312023494
CPU,%,30.081300813008134
Memory,%,72.53787629119498
Disk Read,%,0.0
Disk Write,%,0.017952366537058062
Network In,Kbps,117.0
Network Out,Kbps,20.0
1713312023621
CPU,%,6.1981454367984385
Memory,%,72.53766057771426
Disk Read,%,0.0
Disk Write,%,0.0
Network In,Kbps,117.0
